RecordingDate	ActPythonBatch	Set	TestingOrder	TadpoleID	Alive	Rep	ActivityStartTemp	ActivityEndTemp	ActLR	HD	ActDirectory	ActDirectory/ActFolder/ActFolder.MP4	Treatment	TreatmentCode	FocalNest	LXtop	LYtop	LXbottom	LYbottom	RXtop	RYtop	RXbottom	RYbottom	Threshold	Kernal_size	Problems	New_Threshold	New_Kernal	New_learning rate	Problem_description	Problem_resolved	Keep_video	Description_if_not_resolved	SVL1	SVL2	SVL3	ACT.Dist.Pixels	ACT.MeanSpeed.Pixels	ACT.MaxSpeed.Pixels	ACT.MaxY
02/07/2019	19001	2	23	301	Y	1	24.9	25	R	4	/Volumes/Trini19_HD4/HD4/Act	/Volumes/Trini19_HD4/HD4/Act/MVI_0560/MVI_0560.MP4	NoCompetition	3	35	193	54	291	198	318	58	407	198	150	3	Y	NA	1	NA	small tadpole	Y	Y	NA	4.173	4.254	4.312	258.67	0.4311167	29.07	184
03/07/2019	20	2	23	301	Y	2	24.6	24.8	L	4	/Volumes/Trini19_HD4/HD4/Act	/Volumes/Trini19_HD4/HD4/Act/MVI_0578/MVI_0578.MP4	NoCompetition	3	35	209	51	297	196	333	61	419	201	150	3	N	NA	NA	NA	NA	NA	Y	NA	4.493	4.437	4.493	123.18	0.2053	20.59	177
04/07/2019	21001	2	23	301	Y	3	25.2	25.5	R	4	/Volumes/Trini19_HD4/HD4/Act	/Volumes/Trini19_HD4/HD4/Act/MVI_0597/MVI_0597.MP4	NoCompetition	3	35	182	52	275	193	310	55	392	199	150	3	Y	90	NA	NA	shadow	Y	Y	NA	4.174	4.056	4.056	2066.13	3.44355	123.07	192
05/07/2019	22	2	23	301	Y	4	25.2	25.4	R	4	/Volumes/Trini19_HD4/HD4/Act	/Volumes/Trini19_HD4/HD4/Act/MVI_0616/MVI_0616.MP4	NoCompetition	3	35	186	51	275	197	308	57	392	199	150	3	N	NA	NA	NA	NA	NA	Y	NA	4.403	4.609	4.56	258.09	0.43015	10	133
06/07/3019	22003	2	23	301	Y	5	24.6	24.7	R	4	/Volumes/Trini19_HD4/HD4/Act	/Volumes/Trini19_HD4/HD4/Act/MVI_0629/MVI_0629.MP4	NoCompetition	3	35	180	52	274	196	305	55	388	199	150	3	Y	130	NA	NA	"small tadpole, shadow"	N	Y	one jump	4.703	4.583	5.602	2472.4	4.120667	82.02	189
07/07/2019	24	2	23	301	Y	6	24.4	24.5	R	4	/Volumes/Trini19_HD4/HD4/Act	/Volumes/Trini19_HD4/HD4/Act/MVI_0642/MVI_0642.MP4	NoCompetition	3	35	194	51	283	195	318	60	405	196	150	3	N	NA	NA	NA	NA	NA	Y	NA	4.626	4.769	4.813	50.48	0.08413333	7.21	98
02/07/2019	7	2	28	302	Y	1	25.2	25.4	L	2	/Volumes/Trini19_HD4/HD2/Act	/Volumes/Trini19_HD4/HD2/Act/MVI_0818/MVI_0818.MP4	Conspecific	2	35	231	21	326	155	355	24	440	166	150	3	N	NA	NA	NA	NA	NA	Y	NA	4.856	5.168	5.193	1108.89	1.84815	45.04	151
03/07/2019	8	2	28	302	Y	2	24.9	25	L	2	/Volumes/Trini19_HD4/HD2/Act	/Volumes/Trini19_HD4/HD2/Act/MVI_0841/MVI_0841.MP4	Conspecific	2	35	216	11	312	147	341	17	428	158	150	3	N	NA	NA	NA	NA	NA	Y	NA	4.870	5.053	5.234	340.3	0.5671667	32	105
04/07/2019	9	2	28	302	Y	3	25.5	25.5	L	2	/Volumes/Trini19_HD4/HD2/Act	/Volumes/Trini19_HD4/HD2/Act/MVI_0863/MVI_0863.MP4	Conspecific	2	35	218	14	307	152	342	20	425	158	150	3	N	NA	NA	NA	NA	NA	Y	NA	5.872	5.617	5.867	31.38	0.0523	8.06	139
05/07/2019	10001	2	28	302	Y	4	25.3	25.4	R	2	/Volumes/Trini19_HD4/HD2/Act	/Volumes/Trini19_HD4/HD2/Act/MVI_0882/MVI_0882.MP4	Conspecific	1	35	213	11	309	143	339	17	424	157	150	3	Y	70	NA	NA	jump in the shadow towards the end	Y	Y	NA	4.598	4.926	4.703	3884.91	6.47485	105.02	151
06/07/3019	11	2	28	302	Y	5	24.7	24.9	R	2	/Volumes/Trini19_HD4/HD2/Act	/Volumes/Trini19_HD4/HD2/Act/MVI_0899/MVI_0899.MP4	Conspecific	2	35	213	11	306	152	336	20	418	160	150	3	N	NA	NA	NA	NA	NA	Y	NA	6.471	6.497	6.294	65.79	0.10965	17.8	78
07/07/2019	6	2	28	302	Y	6	24.8	25	L	1	/Volumes/Trini19_HD4/HD1/Act	/Volumes/Trini19_HD4/HD1/Act/MVI_0937/MVI_0937.MP4	Conspecific	2	35	178	4	275	144	304	0	393	148	150	3	N	NA	NA	NA	NA	NA	Y	NA	4.689	4.931	4.626	829.34	1.382233	50.09	137
02/07/2019	7001	2	19	305	Y	1	24.9	25	R	2	/Volumes/Trini19_HD4/HD2/Act	/Volumes/Trini19_HD4/HD2/Act/MVI_0816/MVI_0816.MP4	Heterospecific	1	35	231	21	326	155	355	24	440	166	150	3	Y	110	1	NA	"jumps, drifting, tracking particles, ghost"	Y	Y	NA	3.802	3.776	3.735	2231.22	3.7187	71.69	159
